Data Zone,Council Area,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
Burnhill and Bankhead North - 03,South Lanarkshire,673,4,8,3,6,6,11,4,3,10,3,5,9,5,1,2,1,3,4,2,6,5,8,3,8,7,3,6,6,7,10,7,13,8,2,7,6,12,3,9,8,4,1,10,9,4,5,9,14,7,3,8,16,10,5,5,17,18,7,19,4,12,11,17,13,15,9,12,11,20,11,13,6,11,9,13,11,1,7,9,8,8,10,5,9,5,1,1,0,4,1,1
Burnhill and Bankhead North - 04,South Lanarkshire,584,3,6,6,6,3,6,2,6,5,6,5,4,4,1,6,5,2,4,5,6,7,13,9,6,13,10,14,8,5,5,6,5,6,12,2,9,5,16,6,6,2,0,8,13,13,11,15,8,9,8,9,7,7,8,11,10,9,4,5,1,5,7,11,11,11,2,7,7,5,11,14,4,5,7,9,5,7,7,4,10,5,2,2,2,3,1,3,0,4,0,1
Burnhill and Bankhead North - 05,South Lanarkshire,586,7,8,7,8,13,12,4,9,16,6,2,3,10,6,10,9,9,8,10,8,15,13,9,7,16,16,18,6,2,9,2,8,5,5,8,1,9,12,8,8,6,4,5,7,11,11,11,8,9,6,7,7,11,6,9,11,13,12,5,7,5,5,5,7,2,2,1,6,2,3,1,4,1,4,3,4,5,0,1,3,1,2,2,2,1,1,2,0,1,1,1
Bankhead South - 01,South Lanarkshire,886,8,6,8,7,6,6,7,3,3,9,10,5,6,12,6,3,7,10,9,6,4,8,3,15,10,10,10,4,8,10,12,4,7,7,5,12,7,11,7,8,13,7,15,12,8,5,7,9,13,14,12,14,13,14,17,23,9,22,13,28,23,24,15,15,19,17,15,10,19,8,14,12,11,20,10,5,11,8,12,7,6,5,8,2,7,4,4,0,3,1,4
Bankhead South - 02,South Lanarkshire,790,10,6,9,8,6,11,8,8,8,11,4,7,10,8,7,5,7,6,6,3,8,6,6,8,7,5,11,10,13,2,9,18,11,10,14,7,8,7,6,6,17,8,11,5,15,15,10,5,12,10,8,3,9,12,9,8,11,12,20,15,14,20,14,17,11,7,6,16,7,13,17,10,10,8,13,5,7,11,2,6,8,3,8,3,3,4,3,1,2,1,5
Bankhead South - 03,South Lanarkshire,703,7,16,8,7,8,9,6,11,3,7,13,8,6,11,10,11,5,11,5,9,10,6,7,9,15,2,11,10,14,4,20,2,13,19,8,22,7,14,17,13,5,5,11,6,10,12,11,12,11,6,7,6,16,7,10,12,15,15,7,7,13,7,4,12,6,7,5,4,3,5,4,8,1,2,6,4,3,6,3,3,1,1,3,1,1,0,0,1,1,1,2
Bankhead South - 04,South Lanarkshire,735,8,12,9,10,11,12,11,7,9,0,3,8,11,7,13,8,7,8,4,5,3,11,5,13,10,14,14,14,16,10,3,14,7,15,15,6,12,5,15,11,10,9,8,9,11,9,9,7,9,12,8,1,10,8,8,12,14,11,13,8,12,12,15,19,14,10,12,3,5,7,12,2,10,2,5,8,1,1,5,2,3,3,3,2,1,0,0,0,2,0,2
Spittal - 01,South Lanarkshire,712,9,6,7,5,3,7,17,9,4,11,15,8,6,8,7,5,10,7,12,8,9,9,7,10,8,11,2,7,11,15,8,9,5,11,3,13,13,3,3,7,15,10,7,9,10,13,8,7,5,14,11,7,11,7,2,1,14,17,15,12,18,12,5,10,10,7,10,16,8,13,12,5,7,12,3,2,2,5,5,5,4,1,2,4,4,0,1,1,0,3,2
Spittal - 02,South Lanarkshire,562,6,10,4,8,3,12,6,5,4,5,6,7,9,3,3,6,5,9,5,7,4,2,11,5,10,22,6,5,9,9,15,6,10,11,10,5,9,5,3,2,7,4,5,12,5,8,13,13,7,6,5,10,6,12,9,10,3,13,12,5,11,5,0,7,8,8,8,4,6,7,6,5,1,6,1,6,4,3,2,4,2,1,1,3,1,0,1,1,1,2,0
Spittal - 03,South Lanarkshire,735,9,6,8,4,12,12,8,8,8,9,9,11,5,3,12,4,13,9,3,4,9,14,10,9,18,18,11,1,14,7,12,9,3,14,8,4,7,6,4,3,6,7,4,14,14,10,9,9,10,13,7,15,11,8,10,8,13,6,3,12,3,13,10,16,8,5,7,9,7,10,9,5,12,8,6,7,4,13,7,3,6,8,5,2,4,2,2,4,1,1,11
Spittal - 04,South Lanarkshire,662,6,10,7,4,5,4,5,8,9,7,8,0,6,8,14,6,3,6,6,7,6,7,5,10,4,6,8,2,8,2,5,5,7,5,8,11,5,6,8,2,4,3,6,3,10,7,15,11,4,11,18,7,18,10,11,9,1,9,14,11,11,9,16,16,12,13,10,13,13,11,9,0,4,12,13,3,5,10,8,2,5,5,6,5,2,0,4,0,1,3,10
High Crosshill - 01,South Lanarkshire,1.219,23,15,19,9,13,9,17,15,15,16,9,7,10,10,15,8,11,10,13,10,13,18,9,20,13,24,15,18,22,29,15,17,20,10,9,25,21,22,16,21,7,16,23,22,16,15,15,20,15,23,14,13,18,25,21,21,18,20,23,23,16,16,14,7,14,22,13,9,10,19,16,8,8,8,7,8,8,2,3,4,1,8,0,4,3,4,1,2,2,1,2
High Crosshill - 02,South Lanarkshire,683,3,9,11,6,12,5,11,9,7,5,9,2,3,6,4,2,5,5,10,4,13,11,9,13,18,8,8,11,4,3,4,7,3,3,2,6,6,11,16,9,9,8,11,5,7,14,7,9,8,13,13,8,12,14,7,11,8,7,23,4,15,14,12,3,11,12,4,8,7,10,5,14,4,6,5,10,5,2,8,5,5,4,2,1,3,4,6,0,4,0,3
High Crosshill - 03,South Lanarkshire,872,6,8,7,5,6,3,9,5,6,13,10,9,8,4,8,5,8,11,9,6,4,11,11,18,14,7,9,5,6,7,3,5,2,1,9,9,10,12,5,7,9,8,8,7,15,11,18,8,13,14,17,14,21,19,21,13,17,17,18,10,20,21,11,9,13,16,11,11,10,12,5,14,16,8,9,4,10,9,9,5,8,8,5,9,6,2,5,6,5,4,12
High Crosshill - 04,South Lanarkshire,937,8,7,6,9,14,8,7,4,8,10,2,9,7,9,10,9,4,11,6,5,7,7,2,6,9,9,8,13,8,10,15,4,10,8,16,8,16,10,7,8,10,9,13,7,6,16,5,12,20,10,10,13,11,14,21,18,11,10,15,8,9,7,21,12,18,12,11,19,19,9,14,14,16,8,13,6,14,4,12,10,11,11,9,4,14,8,8,9,13,3,26
Burnside and Springhall - 01,South Lanarkshire,586,11,7,7,11,13,9,12,4,2,11,3,16,8,12,4,9,8,7,9,4,3,2,5,6,10,4,14,6,5,11,2,13,15,6,15,8,6,7,11,12,2,6,4,4,11,11,2,4,9,9,4,4,3,6,7,10,5,8,9,5,4,7,6,8,6,7,10,9,9,6,1,3,6,5,8,1,2,5,2,4,5,6,3,4,0,0,4,0,0,1,3
Burnside and Springhall - 02,South Lanarkshire,602,6,9,8,5,8,8,5,4,9,3,6,2,1,10,0,2,4,6,4,8,7,9,10,9,4,8,6,10,10,11,5,10,5,10,10,11,11,10,7,6,14,4,11,7,9,7,3,12,7,6,3,24,9,11,15,4,8,6,15,2,6,8,6,12,8,5,7,3,6,4,7,6,5,2,5,5,3,5,2,4,7,3,5,3,3,3,2,6,2,0,5
Burnside and Springhall - 03,South Lanarkshire,482,3,2,7,2,8,5,8,7,5,2,1,2,4,8,2,2,6,2,6,6,1,3,6,4,7,5,2,5,3,3,1,8,1,7,2,5,4,5,7,10,4,3,4,5,2,8,4,9,4,4,8,6,6,9,6,7,8,7,7,6,9,9,8,9,7,5,10,12,7,9,10,4,2,4,4,6,4,4,3,6,2,8,4,7,3,2,5,2,7,5,11
Burnside and Springhall - 04,South Lanarkshire,447,8,7,3,8,5,11,6,8,4,1,6,1,2,4,4,3,1,2,3,4,6,3,6,6,7,6,5,9,13,10,11,10,8,8,3,4,1,4,2,5,6,0,6,3,5,9,7,15,7,9,3,2,4,5,3,6,6,6,9,10,11,14,11,9,2,1,0,7,5,0,2,5,5,3,3,2,2,2,1,2,2,5,4,2,3,1,2,0,1,1,0
Burnside and Springhall - 05,South Lanarkshire,723,6,4,7,10,11,5,5,11,5,4,7,2,8,4,2,8,2,10,10,3,7,6,8,4,8,7,7,2,9,8,5,9,6,1,3,10,5,17,10,4,13,5,8,9,10,14,8,9,14,9,9,14,15,16,12,15,23,6,13,8,11,13,11,16,12,10,11,6,12,1,8,9,9,4,6,6,5,6,6,8,11,5,4,7,7,5,5,2,3,6,8
Burnside and Springhall - 06,South Lanarkshire,720,3,4,3,8,7,9,7,4,3,8,9,13,5,10,3,9,4,5,5,6,7,3,3,3,8,8,6,6,3,10,7,5,5,2,4,9,15,5,4,7,8,6,5,9,12,17,12,10,8,7,15,7,10,23,14,8,3,14,11,7,12,18,11,9,9,19,13,8,15,15,8,5,8,5,10,13,9,6,6,10,12,8,5,4,7,7,6,3,1,2,5
Burnside and Springhall - 07,South Lanarkshire,822,9,10,6,4,7,10,4,14,14,6,8,13,7,7,3,6,6,9,8,7,12,9,7,6,1,7,6,7,12,5,4,9,10,4,8,11,11,5,5,10,6,11,14,9,10,11,17,10,8,14,18,9,11,8,9,9,12,14,12,10,8,10,11,12,15,15,9,17,12,18,11,13,7,8,10,3,10,10,5,7,10,9,8,9,1,7,6,7,7,5,13
Fernhill and Cathkin - 01,South Lanarkshire,1.096,25,18,29,19,31,23,26,26,15,24,11,15,11,16,15,8,11,14,9,12,7,5,7,10,3,13,8,8,15,18,18,24,12,19,11,19,34,13,20,21,25,27,23,10,18,19,18,14,14,7,20,9,21,22,14,11,8,7,9,12,12,9,12,11,9,4,9,10,8,12,8,4,5,5,7,1,2,1,2,3,2,3,1,2,0,1,2,0,0,0,0
Fernhill and Cathkin - 02,South Lanarkshire,818,6,11,10,4,17,7,6,8,7,18,7,10,7,15,3,18,11,17,15,15,14,13,18,17,13,5,25,10,13,4,12,10,14,11,13,12,15,11,21,7,7,8,10,16,15,10,12,10,15,16,10,19,14,7,7,6,11,11,12,12,3,5,8,8,4,5,8,4,7,3,8,8,6,2,1,10,5,5,4,4,1,0,0,0,0,3,1,3,1,1,2
Fernhill and Cathkin - 03,South Lanarkshire,568,10,4,7,7,9,2,2,8,6,9,4,15,5,6,8,5,1,1,4,6,7,2,4,8,6,5,7,4,8,6,10,10,12,8,8,6,3,2,9,6,6,5,15,8,12,17,9,13,11,6,7,6,6,9,8,5,12,5,4,5,9,8,7,9,4,9,6,4,8,4,5,8,3,8,5,3,8,7,7,7,3,3,2,3,0,2,1,2,2,1,1
Fernhill and Cathkin - 04,South Lanarkshire,1.231,15,16,18,13,15,16,8,8,19,10,13,10,15,11,13,8,22,11,14,20,19,8,11,16,12,18,20,11,18,19,14,19,7,13,11,20,13,13,17,17,13,18,8,25,20,17,13,19,13,17,20,20,16,15,13,21,27,6,23,21,25,22,11,20,19,12,15,20,16,10,12,8,7,10,8,5,11,10,4,14,8,6,7,5,6,3,8,0,3,2,8
Fernhill and Cathkin - 05,South Lanarkshire,778,14,13,11,11,12,10,17,8,7,13,17,8,9,8,11,8,11,6,10,2,7,7,10,7,9,5,8,13,11,5,13,11,17,11,9,9,8,14,7,7,6,12,9,10,12,11,21,3,9,7,7,6,6,12,14,6,16,13,13,12,8,11,9,13,10,7,8,6,4,13,10,7,5,2,4,9,3,9,2,8,4,3,6,3,2,2,0,1,3,0,7
Nerston and EK Landward Area - 01,South Lanarkshire,2.107,47,53,56,50,65,43,41,35,33,43,31,33,16,22,26,17,17,34,29,22,21,17,23,21,15,12,10,21,21,16,28,38,36,35,59,51,56,50,35,43,48,45,46,31,45,42,33,37,23,24,25,39,27,25,22,17,21,29,20,13,10,13,13,11,15,17,7,8,9,6,3,3,4,3,3,5,1,7,0,3,4,3,3,4,3,0,4,3,4,1,4
Nerston and EK Landward Area - 02,South Lanarkshire,551,8,5,3,5,7,8,5,8,5,11,8,5,7,5,5,4,6,6,10,5,8,10,4,16,12,2,8,7,5,4,5,6,8,7,7,6,9,12,7,10,9,5,5,8,6,6,3,18,15,16,12,14,12,12,9,17,5,8,5,8,8,1,8,6,6,8,4,3,4,1,1,1,5,4,1,2,1,2,0,2,2,3,1,0,0,1,1,2,0,1,0
Nerston and EK Landward Area - 03,South Lanarkshire,786,5,4,5,3,5,2,2,3,3,6,5,6,6,10,3,3,2,7,8,10,7,5,4,11,11,8,15,6,12,6,9,6,5,4,5,2,3,11,6,5,4,7,6,9,8,11,18,7,14,9,16,20,10,16,12,19,16,15,22,17,21,19,13,9,8,6,11,10,19,11,16,19,12,14,9,10,15,6,5,5,12,8,7,4,6,7,1,3,2,1,2
Nerston and EK Landward Area - 04,South Lanarkshire,571,8,5,4,6,14,7,8,8,4,8,5,9,7,7,9,5,7,7,7,9,3,3,4,4,11,5,6,3,5,8,3,7,14,5,5,12,11,8,8,11,10,8,9,3,10,6,10,7,6,5,3,13,10,4,5,7,11,12,3,11,10,5,6,17,4,9,5,6,9,6,6,6,4,3,6,4,2,5,2,3,2,4,2,2,2,3,2,2,0,0,1
Nerston and EK Landward Area - 05,South Lanarkshire,573,8,7,5,9,3,5,6,15,9,11,8,9,11,6,10,4,8,5,3,13,13,7,6,5,14,5,2,5,2,2,3,4,6,5,8,12,8,7,14,11,8,10,11,9,17,21,11,10,10,10,23,13,14,21,13,8,11,5,3,4,5,4,5,3,2,4,3,1,1,3,4,3,1,1,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1
Nerston and EK Landward Area - 06,South Lanarkshire,493,1,2,3,2,2,6,4,2,9,5,0,4,2,5,3,4,2,2,2,2,2,6,4,3,12,4,8,5,7,6,1,1,1,6,2,2,1,4,1,2,6,6,6,5,5,7,7,7,9,13,12,12,6,13,15,13,14,13,15,15,8,6,7,6,13,9,8,12,4,8,8,6,4,7,4,6,5,6,4,3,1,4,2,1,3,5,2,0,0,1,1
Nerston and EK Landward Area - 07,South Lanarkshire,1.037,11,14,13,13,8,10,14,18,13,16,11,12,5,9,6,10,16,9,11,12,13,13,7,6,16,8,6,8,9,9,7,5,16,12,15,16,9,15,4,20,12,10,10,14,10,11,14,13,11,6,9,15,9,14,24,12,19,16,12,15,10,9,12,9,11,10,4,12,9,7,5,8,4,8,7,8,12,10,6,11,13,15,9,14,14,10,14,12,9,5,49
Calderwood East - 01,South Lanarkshire,668,5,5,12,12,2,8,18,4,12,7,3,7,6,7,6,6,4,7,12,3,10,6,3,3,11,15,6,9,5,10,7,7,10,7,11,7,12,9,11,12,6,6,16,10,9,9,6,10,11,11,15,9,3,11,18,14,12,11,12,10,11,7,6,7,1,3,5,6,6,6,9,2,2,7,9,12,3,6,7,2,5,4,3,1,1,0,3,1,0,3,4
Calderwood East - 02,South Lanarkshire,704,5,12,5,10,6,9,6,3,4,6,7,4,3,6,8,7,11,9,6,8,10,4,11,7,8,8,5,12,14,4,11,6,9,15,6,9,7,9,2,12,8,12,10,5,13,8,15,8,14,10,11,12,16,11,10,14,12,6,14,16,10,15,5,5,8,7,6,3,4,6,7,3,8,5,13,6,8,10,6,13,4,2,5,3,6,1,2,1,2,0,1
Calderwood East - 03,South Lanarkshire,782,8,8,9,5,12,10,9,8,7,5,11,12,7,3,2,3,5,7,2,12,8,6,10,25,2,16,18,20,14,12,7,14,15,8,16,15,12,3,6,5,8,6,1,12,9,12,16,25,9,4,14,17,18,14,14,10,16,4,11,10,16,8,8,8,6,8,9,5,7,4,6,5,9,5,11,5,7,4,3,1,4,6,8,7,3,4,2,2,1,1,2
Calderwood East - 04,South Lanarkshire,773,5,7,15,8,9,13,18,2,14,13,17,10,16,13,5,9,4,12,7,4,10,7,13,6,15,7,10,14,9,13,17,13,9,12,12,11,7,9,15,8,15,6,16,11,5,12,7,10,7,8,12,10,14,6,14,17,14,10,10,7,8,12,4,3,10,12,9,8,4,3,2,4,3,7,4,4,2,2,7,1,4,5,4,6,2,2,3,2,3,1,3
Calderwood East - 05,South Lanarkshire,610,6,3,9,3,6,5,10,6,11,7,11,6,20,7,9,9,17,4,10,13,17,6,7,12,6,4,7,8,11,6,7,10,5,8,6,5,2,8,8,7,4,17,7,14,4,14,10,9,8,5,12,10,15,12,5,8,15,5,3,6,10,8,8,5,6,5,4,3,4,2,5,1,2,4,7,8,3,2,1,3,3,4,0,1,0,1,1,0,1,2,1
Calderwood Central - 01,South Lanarkshire,837,7,3,4,5,5,8,6,8,4,8,3,4,5,3,6,8,6,4,8,7,11,6,9,11,15,9,13,7,15,20,6,17,7,13,17,6,7,9,10,14,5,9,16,18,11,12,17,12,23,15,6,9,13,10,14,15,12,16,22,21,16,15,16,8,13,9,14,10,10,14,7,6,5,6,5,2,5,6,7,5,3,6,3,8,8,5,5,0,0,2,8
Calderwood Central - 02,South Lanarkshire,820,3,6,11,12,3,7,5,8,3,8,5,10,7,9,8,4,5,4,11,9,3,10,10,5,7,6,11,6,11,15,11,6,20,2,8,13,4,1,10,14,5,8,15,3,7,17,16,24,14,17,18,21,16,18,11,8,10,16,9,8,10,12,13,10,8,6,12,2,8,6,11,8,10,11,5,3,3,8,11,7,8,6,12,13,6,7,9,5,2,2,14
Calderwood Central - 03,South Lanarkshire,683,4,8,8,8,9,4,10,10,9,6,8,7,5,5,2,5,3,5,1,6,11,4,1,17,2,16,14,8,8,5,6,7,2,15,6,15,12,10,10,9,9,4,5,4,7,5,9,18,10,10,10,8,17,14,9,8,18,15,8,7,12,5,7,13,8,5,11,5,11,4,7,10,6,4,9,7,6,5,5,12,4,6,2,5,6,3,1,3,1,1,3
Calderwood Central - 04,South Lanarkshire,565,8,3,4,7,2,3,3,4,5,5,1,5,5,7,2,3,1,2,9,6,3,10,5,3,4,7,8,9,5,13,11,8,8,6,5,8,10,7,8,2,0,5,8,3,3,5,11,14,9,9,7,2,12,10,12,9,6,5,8,7,10,8,4,7,8,12,6,2,0,6,10,6,14,4,6,10,7,6,3,4,9,11,8,6,7,7,3,3,2,1,5
Calderwood Central - 05,South Lanarkshire,872,8,8,5,7,2,9,6,8,8,8,8,6,10,7,3,7,3,7,13,7,11,9,5,5,11,15,8,7,16,11,14,15,10,10,11,7,10,9,7,16,2,8,14,13,7,7,16,17,13,24,12,13,12,10,12,28,15,16,10,5,14,12,11,17,19,12,8,15,5,15,7,8,7,6,6,0,8,11,4,5,9,5,4,8,8,3,6,5,3,3,27
Calderwood West and Nerston - 01,South Lanarkshire,708,5,10,6,4,5,2,7,12,2,11,5,7,7,5,4,6,7,10,7,4,14,8,9,8,10,13,2,5,14,5,3,4,3,5,7,9,8,9,4,5,6,8,7,6,11,10,10,8,13,14,8,16,11,19,9,13,10,17,10,16,14,13,9,15,7,10,7,8,6,10,10,8,5,6,6,6,9,3,4,9,3,5,6,9,7,1,4,1,2,2,10
Calderwood West and Nerston - 02,South Lanarkshire,705,7,7,7,8,9,7,10,10,12,7,16,6,12,3,6,7,5,5,5,10,3,3,5,8,9,7,10,3,4,19,9,10,9,14,15,11,14,14,5,4,8,1,7,6,5,7,6,6,13,5,5,6,9,10,7,19,17,10,22,11,13,11,9,7,10,3,7,5,4,6,5,3,3,4,8,3,10,6,9,10,7,7,5,11,3,4,2,3,2,4,6
Calderwood West and Nerston - 03,South Lanarkshire,798,5,4,3,11,4,4,2,9,4,5,2,8,9,7,8,5,10,18,11,8,14,10,10,4,7,12,6,6,12,15,7,5,8,15,5,10,9,4,5,8,15,9,5,6,8,5,10,9,10,9,13,23,10,11,17,14,18,14,24,16,15,9,11,12,16,5,13,7,6,13,5,5,9,9,6,7,9,5,11,8,10,8,7,5,10,6,3,2,3,2,6
Calderwood West and Nerston - 04,South Lanarkshire,894,8,10,7,8,12,15,15,13,13,8,7,11,7,15,13,7,3,9,7,10,11,13,13,8,13,12,8,11,10,22,29,15,10,13,16,14,12,12,10,8,12,2,15,9,14,10,13,14,7,14,9,11,7,17,9,24,19,18,18,9,11,11,13,13,13,8,4,8,9,7,10,4,4,3,3,5,1,5,6,4,6,5,7,4,3,3,3,2,4,0,6
Calderwood West and Nerston - 05,South Lanarkshire,1.004,9,19,13,15,13,12,15,9,14,12,11,11,10,13,17,10,20,19,11,11,10,15,5,7,14,14,12,14,15,15,13,12,21,12,19,10,12,15,7,16,15,12,16,17,10,22,16,20,20,14,11,21,14,15,21,18,14,12,13,12,11,16,13,13,5,4,3,2,8,6,7,13,3,6,4,5,6,2,4,6,5,6,3,4,1,1,2,2,3,1,4
St Leonards North - 01,South Lanarkshire,644,6,2,3,7,3,9,2,8,6,3,7,4,6,3,2,3,6,9,4,3,7,13,4,10,11,17,9,9,1,4,1,5,3,8,4,6,10,8,9,6,6,4,5,5,15,8,5,10,15,10,5,14,16,12,7,6,16,8,10,7,9,9,12,11,6,7,6,7,6,6,13,13,10,12,7,6,13,5,3,14,10,10,5,4,2,1,3,4,3,0,2
St Leonards North - 02,South Lanarkshire,682,3,4,3,4,5,7,5,8,7,5,11,8,3,15,5,9,12,7,12,15,7,9,10,13,7,3,5,6,6,2,0,3,3,4,3,1,2,3,2,10,13,7,7,7,9,10,9,16,8,14,13,12,8,21,17,11,16,14,20,10,12,13,10,5,11,6,10,5,11,8,10,11,9,6,3,6,9,6,5,7,4,5,5,0,1,3,5,1,0,0,6
St Leonards North - 03,South Lanarkshire,481,3,4,3,2,2,3,4,5,6,6,1,4,5,0,3,7,3,5,11,6,7,6,5,3,9,5,9,10,9,10,5,7,10,9,8,11,6,4,6,1,3,4,6,0,12,6,10,5,5,10,9,9,11,9,10,8,6,5,8,6,9,7,6,3,3,2,3,4,3,2,3,3,4,3,4,2,2,3,7,4,2,2,7,3,6,8,1,1,4,2,3
