Data Zone,Council Area,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
The Inch - 05,City of Edinburgh,611,4,8,10,10,4,6,5,5,10,7,10,14,9,1,7,11,6,4,5,2,10,6,3,6,5,15,19,17,15,14,15,15,10,10,5,14,7,9,17,3,4,14,1,9,14,14,6,13,9,3,0,8,8,10,5,1,5,5,7,5,2,5,8,5,7,2,6,9,4,4,6,4,6,6,6,4,4,2,0,2,3,1,4,1,2,2,3,0,1,0,8
The Inch - 06,City of Edinburgh,848,9,10,11,11,0,14,12,8,15,10,9,14,11,9,9,11,13,6,3,9,5,9,3,14,20,17,22,13,17,23,11,11,13,14,7,7,8,11,12,16,8,3,8,9,12,16,10,7,6,18,7,16,12,8,14,18,14,2,6,9,13,12,12,10,7,5,5,11,13,10,15,7,8,6,6,8,5,2,6,6,5,0,2,3,2,2,3,1,2,4,7
"Blackford, West Mains and Mayfield Road - 01",City of Edinburgh,1.138,8,7,7,12,11,11,5,14,3,9,9,5,4,10,6,11,6,7,17,33,25,30,39,56,36,38,32,24,24,15,18,13,19,12,20,14,15,13,11,5,6,13,9,7,10,13,1,11,15,11,8,7,13,13,11,10,13,17,21,12,10,15,12,8,9,7,8,13,20,22,8,11,8,7,4,8,10,6,12,7,7,4,5,7,4,2,7,3,4,3,12
"Blackford, West Mains and Mayfield Road - 02",City of Edinburgh,865,6,9,7,10,14,7,15,14,11,6,17,8,18,4,12,6,8,11,8,4,5,11,7,6,5,14,17,18,12,10,14,11,17,8,4,15,7,8,4,16,10,7,14,11,19,13,19,15,7,8,17,19,12,10,8,5,17,16,9,12,10,10,11,6,4,16,6,12,9,8,8,7,8,6,5,8,6,7,7,5,8,5,3,4,5,6,3,6,1,7,6
"Blackford, West Mains and Mayfield Road - 03",City of Edinburgh,389,1,2,7,1,4,7,1,1,8,4,4,9,5,5,2,7,1,6,6,0,6,2,13,0,4,1,4,2,4,10,2,5,2,4,3,4,2,5,2,3,4,5,7,3,8,7,9,4,5,4,9,4,3,3,10,4,6,9,9,3,3,4,5,6,9,3,3,10,7,9,3,4,5,1,4,4,2,2,2,1,1,0,2,3,3,2,1,1,2,4,8
"Blackford, West Mains and Mayfield Road - 04",City of Edinburgh,817,6,7,6,9,4,9,8,4,6,8,3,6,12,8,10,7,10,5,5,5,7,10,6,14,21,19,19,26,27,9,5,4,23,10,13,14,20,22,20,7,15,5,12,5,6,5,14,6,5,12,18,8,17,4,5,9,5,8,5,4,1,1,5,10,3,6,13,10,5,8,6,10,9,4,8,7,2,10,6,7,5,9,5,9,9,8,7,3,4,6,19
"Blackford, West Mains and Mayfield Road - 05",City of Edinburgh,870,13,7,12,5,7,14,12,8,15,4,8,13,9,10,1,9,5,4,6,6,8,3,13,21,14,15,20,14,23,13,21,27,11,19,11,15,13,29,13,14,12,6,17,8,9,8,11,7,14,10,13,13,15,14,4,10,11,12,10,6,9,16,8,7,14,6,8,9,5,10,5,6,6,6,3,4,7,3,5,2,4,3,5,4,2,2,2,3,1,1,9
"Blackford, West Mains and Mayfield Road - 06",City of Edinburgh,896,11,8,8,9,9,10,11,10,9,15,14,1,14,19,10,4,7,9,9,6,2,8,15,19,20,30,38,28,17,28,24,8,11,18,18,7,16,4,9,11,17,10,9,16,21,23,13,12,10,12,14,13,10,11,12,6,10,8,11,7,5,11,3,5,4,5,8,3,12,7,3,6,5,5,3,4,2,2,4,2,4,4,2,1,4,2,3,0,1,2,5
"Blackford, West Mains and Mayfield Road - 07",City of Edinburgh,763,7,6,12,10,8,10,7,21,10,8,9,16,11,19,10,8,11,7,1,2,2,0,3,3,8,9,3,6,12,8,7,6,2,5,6,5,10,14,11,9,15,10,2,9,13,16,17,8,6,15,17,18,12,14,16,15,11,9,10,15,15,14,3,9,9,9,9,5,5,12,3,6,8,4,6,9,4,5,6,4,6,2,7,9,5,2,2,3,5,0,7
"Blackford, West Mains and Mayfield Road - 08",City of Edinburgh,1.114,7,17,8,13,12,11,9,7,15,8,10,14,11,9,19,8,12,10,5,2,8,16,23,24,17,27,20,28,15,18,5,3,16,17,4,13,13,18,12,10,14,18,15,13,6,18,9,14,9,18,13,14,11,14,17,19,9,14,11,7,12,11,11,12,7,9,15,20,17,18,12,7,14,9,7,7,8,9,13,14,9,9,3,8,14,8,9,6,6,6,27
Prestonfield - 01,City of Edinburgh,854,6,5,2,4,5,11,4,3,15,5,4,3,1,1,6,3,8,7,3,5,5,7,8,11,13,20,22,19,15,20,14,15,19,12,13,15,8,8,10,5,3,6,8,10,21,9,13,5,4,12,11,9,7,13,12,14,5,10,10,16,16,10,14,8,14,8,13,11,11,6,10,8,15,8,16,5,2,9,6,7,14,10,11,2,7,9,2,2,7,3,32
Prestonfield - 02,City of Edinburgh,891,7,5,6,8,6,8,7,7,9,9,9,1,9,3,4,1,5,4,3,10,24,25,15,13,18,40,36,25,24,37,25,15,8,8,9,19,15,19,2,13,14,10,8,13,14,10,12,10,12,8,12,9,6,9,11,11,7,10,7,5,8,8,7,7,5,8,5,9,11,11,12,17,8,7,5,2,5,7,0,1,7,4,2,4,2,4,3,2,6,4,1
Prestonfield - 03,City of Edinburgh,844,1,12,14,1,3,1,5,8,8,16,12,4,8,4,7,10,4,10,13,3,7,10,13,13,7,15,13,7,2,11,11,3,8,7,10,4,7,1,6,11,12,7,5,13,7,17,17,18,13,11,8,15,11,13,9,9,20,16,17,14,11,15,17,14,12,15,13,7,14,15,14,9,3,8,10,14,6,6,9,11,10,9,5,11,5,5,4,4,3,0,3
Prestonfield - 04,City of Edinburgh,800,6,5,4,8,9,4,13,6,15,6,1,5,7,6,8,8,3,6,0,24,63,61,37,28,21,17,30,21,11,11,9,10,11,13,11,7,8,9,8,10,11,7,9,11,2,11,6,3,4,3,7,7,11,4,7,9,6,3,7,11,5,6,4,10,5,6,2,0,4,6,6,4,6,2,6,2,11,5,1,3,1,4,3,2,4,1,0,0,4,2,6
Newington and Dalkeith Road - 01,City of Edinburgh,870,3,8,4,6,12,2,12,8,5,11,10,8,10,6,7,11,5,8,7,18,27,34,23,40,22,28,27,5,12,14,11,10,11,16,10,7,11,5,10,10,9,7,3,6,7,13,12,13,6,16,14,11,17,13,6,11,5,11,16,10,16,5,8,9,8,2,14,6,4,6,8,8,9,5,7,2,3,4,4,6,5,3,6,4,5,1,2,1,4,1,4
Newington and Dalkeith Road - 02,City of Edinburgh,1.137,6,9,18,16,21,18,19,26,17,22,26,21,23,6,22,0,7,10,9,7,9,9,14,15,13,24,35,18,24,14,8,19,20,11,20,16,3,30,13,18,28,22,23,15,15,16,18,16,16,21,8,16,24,13,9,11,14,6,7,7,6,6,13,8,6,16,9,7,4,5,7,3,3,6,5,5,10,7,4,5,3,3,1,6,6,2,3,3,7,3,24
Newington and Dalkeith Road - 03,City of Edinburgh,2.147,3,5,5,1,5,2,3,2,2,3,3,4,9,1,1,6,6,14,277,803,306,125,86,56,52,32,18,24,17,13,13,9,8,6,4,5,1,2,4,5,9,5,4,6,3,3,5,9,3,3,7,8,9,11,4,4,10,10,4,4,5,7,6,4,3,2,3,0,3,3,6,4,3,4,6,4,2,7,0,1,4,0,4,1,0,1,1,0,0,1,0
Newington and Dalkeith Road - 04,City of Edinburgh,667,5,4,11,7,6,2,3,4,5,6,1,2,5,3,2,2,1,2,23,45,29,37,29,26,21,13,21,15,16,14,16,20,5,16,12,10,12,7,9,3,7,11,6,10,9,8,6,1,9,3,7,5,4,5,6,2,14,4,4,7,7,4,5,0,3,5,2,3,3,2,6,1,2,3,1,1,4,0,3,1,1,3,0,2,0,0,3,1,2,0,1
Newington and Dalkeith Road - 05,City of Edinburgh,1.109,4,2,0,4,3,1,8,9,4,4,3,3,2,3,0,1,3,2,4,35,83,114,102,72,37,43,49,46,36,30,24,17,29,19,12,14,10,8,10,10,12,7,3,10,7,13,8,3,10,8,8,5,12,5,9,4,4,8,11,5,5,4,7,12,7,6,2,4,8,2,1,4,1,3,1,3,3,4,1,0,3,2,0,1,3,0,5,3,0,1,1
The Grange - 01,City of Edinburgh,1.121,6,8,5,5,9,7,11,8,1,7,7,7,9,6,5,8,3,8,5,19,44,63,58,65,54,50,26,35,35,27,29,25,20,23,27,10,12,17,12,8,8,10,7,11,7,3,14,3,24,16,7,10,11,9,7,6,15,17,11,5,7,7,2,8,7,10,4,12,7,4,12,10,8,7,3,1,1,2,1,7,2,1,1,1,2,4,2,1,1,0,1
The Grange - 02,City of Edinburgh,693,4,4,4,6,12,1,4,0,2,4,5,7,5,8,9,6,5,7,3,12,44,23,38,16,30,24,23,24,22,10,12,18,7,7,3,9,12,2,9,13,9,5,12,17,2,5,5,7,8,5,5,7,8,15,10,7,6,7,5,2,7,9,8,5,6,6,5,2,4,3,5,6,1,4,4,3,2,0,0,3,1,1,1,0,0,1,0,0,2,1,2
The Grange - 03,City of Edinburgh,743,4,2,11,9,13,8,11,12,8,9,11,14,15,18,5,11,9,6,8,7,9,5,6,3,15,8,4,23,10,13,9,2,4,10,7,6,7,3,9,3,4,8,8,15,19,11,15,16,9,11,8,15,7,6,13,11,20,4,11,14,8,9,3,7,6,7,9,11,12,6,9,2,9,6,9,6,8,7,6,5,6,1,2,2,2,5,1,0,0,1,6
The Grange - 04,City of Edinburgh,613,4,5,5,5,2,5,12,10,7,8,7,11,11,10,7,8,6,4,2,1,1,1,4,6,3,10,4,9,9,4,9,1,2,1,1,1,1,3,5,5,2,6,5,7,14,6,8,13,12,4,15,15,13,5,10,5,10,6,7,10,10,5,11,6,4,8,11,16,12,14,14,6,12,11,7,7,10,2,10,3,10,2,2,3,3,2,6,7,5,3,8
The Grange - 05,City of Edinburgh,783,1,4,3,15,11,2,14,7,7,10,9,8,6,3,9,4,7,7,5,4,2,4,2,7,11,7,19,10,14,9,10,14,5,1,2,8,11,14,8,3,11,10,14,11,15,6,8,12,12,5,6,9,10,4,13,11,15,5,9,14,6,13,11,5,14,15,10,13,17,7,11,11,12,6,11,10,8,5,6,9,11,13,10,6,5,3,4,5,8,5,16
The Grange - 06,City of Edinburgh,1.033,4,3,5,16,11,17,13,13,15,16,10,14,18,17,10,15,11,6,6,8,7,4,7,11,8,17,12,7,5,4,4,5,7,11,11,7,4,5,21,16,8,12,13,15,11,8,21,14,22,17,8,8,7,12,17,12,15,10,14,11,13,18,8,11,16,10,15,18,13,7,26,8,4,18,7,6,5,10,13,12,7,9,16,7,6,7,9,8,11,7,52
The Grange - 07,City of Edinburgh,841,5,8,6,6,10,5,10,4,4,9,8,8,4,4,4,2,11,8,9,16,25,39,30,24,15,11,21,13,13,12,6,3,7,11,11,5,9,7,10,9,11,2,5,7,6,8,8,4,3,12,7,14,7,15,11,12,8,6,5,9,7,4,7,4,9,9,4,15,9,12,16,6,7,7,7,8,10,7,10,5,10,5,5,10,10,8,4,6,4,9,25
Marchmont East and Sciennes - 01,City of Edinburgh,1.365,13,8,6,4,9,7,11,2,7,8,8,8,4,6,5,11,4,7,46,109,120,98,75,64,73,43,42,44,29,29,25,22,22,19,16,15,12,12,10,14,17,10,15,2,6,12,3,4,11,14,11,6,5,6,15,6,2,9,3,7,9,7,7,14,6,8,4,12,2,3,9,5,2,5,5,3,3,3,2,3,1,1,3,2,1,1,4,4,0,1,4
Marchmont East and Sciennes - 02,City of Edinburgh,729,6,5,3,2,12,4,3,3,3,7,2,3,4,1,2,2,2,2,3,14,54,61,60,33,46,32,13,18,16,18,22,15,17,13,16,8,4,7,4,3,5,11,26,4,5,5,4,4,6,7,6,7,3,5,6,7,4,8,3,4,4,7,6,3,1,0,1,3,2,1,5,3,3,2,1,2,1,0,1,0,1,1,0,1,0,1,0,1,1,1,3
Marchmont East and Sciennes - 03,City of Edinburgh,802,4,8,10,7,4,4,5,3,8,1,17,2,9,5,6,8,4,5,12,12,40,42,47,30,21,23,19,17,12,11,17,10,4,10,13,7,8,5,4,5,5,3,12,7,9,11,10,13,16,9,5,10,10,12,7,5,3,6,11,7,8,6,9,4,6,7,4,6,5,4,11,3,5,6,5,5,2,7,3,5,4,4,3,2,3,7,3,3,0,1,11
Marchmont East and Sciennes - 04,City of Edinburgh,731,5,7,3,5,5,0,2,5,4,1,6,1,1,2,3,1,0,2,3,16,49,91,72,36,31,42,38,29,16,19,7,14,4,11,5,6,7,6,5,8,1,1,0,8,7,2,4,7,5,5,3,10,2,5,6,4,4,11,2,3,10,4,2,1,5,5,4,1,6,1,3,4,5,1,2,5,1,3,2,2,1,2,1,0,0,0,0,0,0,0,2
Marchmont East and Sciennes - 05,City of Edinburgh,874,1,0,5,2,7,3,7,8,9,10,8,4,10,3,1,4,7,3,5,33,80,82,99,38,19,20,13,18,11,14,13,11,15,15,4,6,6,5,12,3,7,9,3,1,14,5,11,6,7,3,6,6,5,13,5,11,9,6,7,7,8,4,2,6,5,3,5,9,7,4,3,8,1,1,6,0,1,0,2,1,4,3,5,4,3,3,3,3,1,3,11
Marchmont East and Sciennes - 06,City of Edinburgh,634,3,3,5,5,8,3,2,5,2,4,2,2,4,1,3,2,3,2,2,16,46,89,70,39,28,17,10,15,10,15,8,3,5,9,8,7,8,12,10,9,8,5,4,5,2,8,6,5,1,4,7,4,3,3,7,4,1,6,3,2,1,3,1,5,4,3,4,4,2,1,0,4,1,4,3,1,0,3,2,1,0,0,2,0,0,1,1,0,0,0,0
Marchmont West - 01,City of Edinburgh,785,2,6,7,5,9,2,10,2,8,1,4,7,4,4,2,2,4,3,6,38,72,109,92,48,18,25,11,9,17,6,8,5,8,6,6,7,7,10,11,6,5,6,7,11,4,18,3,3,12,3,6,9,1,2,8,6,9,2,3,3,5,0,0,2,1,1,6,7,5,2,6,2,0,3,0,2,2,1,0,0,4,2,0,1,1,0,1,0,1,0,2
Marchmont West - 02,City of Edinburgh,666,5,0,8,3,5,4,1,1,4,8,3,4,6,2,3,0,5,4,5,21,83,89,67,39,24,22,22,9,14,13,12,14,3,3,8,5,5,7,5,8,2,4,5,0,3,7,9,5,5,1,5,3,2,9,5,1,3,5,3,2,2,2,2,2,6,3,1,0,1,4,0,1,3,0,3,1,1,0,1,1,1,0,2,1,0,1,0,2,0,0,2
Marchmont West - 03,City of Edinburgh,498,1,2,4,7,0,7,6,5,7,5,4,2,3,2,1,0,4,2,5,10,34,45,34,34,15,8,9,11,8,15,7,4,3,7,2,7,6,9,10,6,11,10,2,10,1,4,2,3,4,5,3,2,2,3,5,4,5,4,5,6,2,5,1,9,4,4,6,3,2,4,1,1,1,2,2,0,0,0,0,1,0,1,2,2,0,1,0,0,0,1,1
Marchmont West - 04,City of Edinburgh,741,5,7,0,2,5,2,4,7,7,3,5,5,6,5,5,1,4,4,6,26,68,89,56,45,29,20,24,21,19,16,16,13,13,8,9,5,4,4,2,5,2,7,9,10,7,5,13,6,3,12,1,1,1,3,5,6,7,8,6,2,6,2,3,5,3,3,3,4,1,0,2,3,1,0,3,2,1,0,3,2,1,0,0,0,1,0,0,0,0,2,1
Marchmont West - 05,City of Edinburgh,759,5,9,5,8,8,7,7,7,3,5,5,1,2,5,2,2,2,2,6,28,67,96,76,53,31,23,16,9,11,17,10,15,11,8,6,6,3,2,6,3,4,6,9,2,3,10,6,7,13,8,1,0,5,4,3,1,12,3,2,6,3,4,5,1,2,5,5,1,6,5,3,1,5,3,3,1,1,5,3,0,0,0,0,0,0,3,0,0,1,0,0
Marchmont West - 06,City of Edinburgh,512,3,3,2,5,0,5,5,4,3,4,4,2,4,1,2,1,1,3,8,20,37,29,26,16,23,15,12,18,8,10,10,10,6,10,7,6,8,2,6,1,3,5,4,2,3,5,6,5,6,8,6,3,2,5,3,11,7,4,7,2,2,4,6,3,2,7,3,3,9,5,5,4,2,2,2,2,1,2,0,3,1,2,1,1,0,0,0,0,2,0,1
Marchmont West - 07,City of Edinburgh,879,4,6,5,7,8,10,4,11,9,6,4,4,10,8,5,11,6,3,3,24,53,57,50,42,37,27,17,12,14,7,12,13,9,4,4,5,10,1,4,11,8,6,7,7,10,6,6,13,11,10,11,15,4,11,3,7,6,11,8,2,9,5,4,6,11,7,12,11,8,4,11,8,8,6,4,6,4,7,3,2,6,3,2,2,2,5,4,6,1,0,13
Morningside - 01,City of Edinburgh,797,4,8,8,10,10,8,13,5,4,10,4,4,10,9,5,9,7,6,8,0,1,3,5,11,7,8,3,14,8,4,9,5,5,6,7,8,8,12,15,9,2,10,16,6,6,14,4,3,11,15,13,10,8,15,11,15,10,10,9,5,5,9,8,10,18,10,9,9,21,6,16,10,17,11,10,14,11,18,9,11,11,10,8,3,3,2,9,7,7,3,19
Morningside - 02,City of Edinburgh,607,7,5,11,3,8,6,8,8,10,8,12,8,10,6,7,5,8,8,6,1,3,2,5,3,9,7,6,4,9,3,3,8,4,4,3,6,5,3,6,8,7,11,5,9,6,8,16,6,7,10,13,7,12,12,12,11,8,16,7,11,11,4,16,7,8,5,4,17,12,8,9,2,6,5,13,2,6,2,3,2,5,3,3,1,0,3,1,2,1,1,5
Morningside - 03,City of Edinburgh,943,11,9,10,16,8,5,13,16,8,9,17,12,8,11,12,7,12,15,9,5,4,10,12,14,20,11,13,18,11,18,25,16,6,8,10,9,5,14,18,12,16,15,20,17,16,13,17,20,13,5,17,8,16,11,8,15,9,10,12,15,12,9,10,12,9,5,8,8,10,11,13,8,18,3,9,8,4,6,3,6,4,2,14,3,4,0,1,1,2,0,0
Morningside - 04,City of Edinburgh,780,7,3,11,8,7,9,8,18,10,13,11,12,3,9,8,12,10,15,6,5,4,4,3,6,11,6,1,9,6,1,3,14,13,6,4,6,8,13,6,11,9,7,12,6,12,3,17,8,20,21,11,17,16,4,15,7,10,8,6,10,11,5,4,12,12,11,9,8,6,8,10,5,5,10,3,3,1,4,2,6,6,5,4,4,4,5,7,5,6,5,55
Morningside - 05,City of Edinburgh,743,6,7,4,6,5,4,7,9,7,2,8,4,8,5,7,5,3,5,4,1,3,9,12,25,11,14,26,39,11,27,1,9,25,20,9,12,10,16,12,11,11,11,5,6,15,9,17,4,9,10,1,9,16,7,8,11,12,2,6,2,5,8,7,8,2,10,6,6,4,3,5,4,7,6,5,4,4,5,4,4,3,7,2,4,4,3,2,2,4,5,20
Morningside - 06,City of Edinburgh,649,7,3,12,10,5,7,2,7,10,2,11,7,9,7,7,10,4,1,5,2,4,8,8,11,7,12,28,8,19,13,13,17,8,8,11,14,14,19,15,5,6,13,5,6,7,6,3,11,7,8,7,9,10,10,10,6,16,6,5,5,1,8,10,11,0,4,7,7,4,3,7,5,4,3,2,1,5,3,0,1,5,3,2,1,5,7,1,4,2,0,7
Morningside - 07,City of Edinburgh,606,5,4,3,7,5,3,2,11,7,6,4,2,5,1,3,4,4,4,3,10,12,29,20,23,20,19,22,20,21,25,13,20,10,12,8,11,9,12,12,3,9,7,8,2,8,13,6,4,1,6,3,5,5,3,6,6,7,0,3,4,2,4,3,3,1,6,2,2,0,3,2,3,5,1,4,3,2,2,3,4,3,3,1,6,4,0,3,2,1,2,6
Morningside - 08,City of Edinburgh,966,10,7,7,3,7,6,9,9,7,11,5,11,5,2,6,2,4,3,0,3,16,16,20,22,18,26,39,35,35,31,33,30,27,33,13,33,30,17,25,19,14,8,15,10,17,9,15,6,9,11,9,12,9,5,11,6,5,11,11,10,8,5,12,13,6,6,6,5,7,3,4,5,7,4,6,10,2,2,2,1,3,1,3,1,0,3,1,0,1,1,0
Merchiston and Greenhill - 01,City of Edinburgh,797,1,4,5,0,3,3,4,4,4,2,4,6,0,4,5,6,3,2,0,2,3,4,5,7,10,12,19,15,32,35,29,23,37,15,28,19,12,15,9,19,12,1,5,9,16,18,8,12,15,15,8,6,11,18,10,13,7,10,16,8,11,13,7,11,12,5,8,6,8,5,10,5,6,5,7,3,6,4,0,1,3,4,2,1,3,5,1,4,3,1,9
Merchiston and Greenhill - 02,City of Edinburgh,951,3,5,5,12,6,9,12,11,8,15,10,9,9,9,15,11,6,13,8,8,4,9,4,12,6,9,13,22,18,18,7,8,14,9,9,7,10,7,2,8,8,14,12,8,13,17,14,9,14,9,11,11,19,13,6,14,9,12,10,9,8,22,12,16,9,10,10,11,14,16,9,12,12,13,14,11,8,9,14,7,20,6,2,12,4,12,8,8,7,6,17
Merchiston and Greenhill - 03,City of Edinburgh,765,4,9,4,11,10,3,7,6,8,8,12,11,9,9,7,7,3,12,5,10,15,27,37,36,30,20,18,13,9,5,10,2,6,15,12,3,6,8,7,6,3,7,5,4,5,9,5,9,16,9,8,7,9,9,3,8,16,15,9,9,3,7,12,13,12,14,10,4,13,6,7,6,3,4,7,4,4,4,3,5,3,5,2,1,0,2,0,1,2,2,1
Merchiston and Greenhill - 04,City of Edinburgh,838,6,1,4,6,2,9,10,15,12,13,7,8,8,11,9,10,8,5,5,10,21,37,19,14,23,15,11,13,15,15,6,9,9,12,6,9,9,9,7,10,12,5,13,17,17,15,17,11,10,15,18,11,8,6,8,5,10,12,9,13,16,7,8,8,11,10,10,8,4,5,8,2,3,5,2,4,4,4,5,2,2,4,0,2,0,4,6,6,10,2,16
Merchiston and Greenhill - 05,City of Edinburgh,879,3,7,9,6,5,5,4,9,6,20,6,10,2,7,4,3,7,8,5,3,27,43,47,27,27,20,17,17,16,10,8,11,10,9,12,13,11,12,7,9,9,14,8,7,5,7,8,17,4,12,10,11,6,17,6,4,10,13,11,4,13,12,9,11,9,6,8,5,7,12,13,12,7,5,10,2,4,9,7,8,5,6,5,6,3,5,0,3,5,3,4
Merchiston and Greenhill - 06,City of Edinburgh,855,6,2,10,1,2,9,9,10,1,5,6,7,10,11,9,12,5,9,10,5,6,15,16,17,11,17,26,15,18,13,10,16,21,19,16,15,11,9,9,1,10,7,7,8,4,12,14,11,9,13,20,17,13,9,12,13,9,11,7,7,12,10,10,8,6,3,8,7,10,3,11,10,4,8,8,2,4,6,3,7,4,10,5,6,8,11,5,2,6,5,20
Bruntsfield - 01,City of Edinburgh,882,6,6,3,9,7,3,7,11,1,3,6,3,3,5,2,3,5,4,3,19,38,51,35,33,26,25,22,18,20,19,15,12,13,12,13,6,5,9,9,1,4,7,7,19,5,2,5,7,5,8,7,8,11,7,4,10,8,8,5,1,6,9,4,8,9,4,6,4,6,11,10,11,8,6,9,4,14,2,11,2,7,5,12,3,8,10,3,6,10,8,37
Bruntsfield - 02,City of Edinburgh,977,8,9,5,8,4,11,4,9,8,10,8,3,7,10,6,4,3,7,1,6,9,16,20,32,28,34,45,42,40,17,30,41,19,26,39,12,21,24,36,16,11,12,9,3,20,11,6,12,7,14,13,5,9,9,9,11,12,10,9,6,7,8,8,4,8,4,4,6,4,9,2,2,3,1,2,1,5,1,1,2,1,1,5,2,2,2,2,0,1,0,3
Bruntsfield - 03,City of Edinburgh,820,8,6,4,5,4,7,5,6,4,9,7,5,7,8,5,8,3,8,7,13,31,38,52,39,30,30,41,26,28,20,15,26,17,17,19,10,9,7,10,3,8,7,7,8,3,10,9,7,4,15,6,11,7,7,8,3,3,5,7,9,9,4,7,8,2,3,1,3,3,5,9,3,3,1,1,5,3,0,1,1,0,2,3,0,0,0,1,0,1,0,0
Bruntsfield - 04,City of Edinburgh,959,9,10,9,8,5,5,8,6,0,3,4,6,2,2,3,1,3,3,14,29,71,64,62,65,52,55,36,20,39,18,33,25,24,19,18,10,8,4,3,7,4,6,8,3,14,6,12,9,6,6,11,6,5,2,9,3,5,5,4,4,4,3,0,6,12,3,3,9,0,4,2,0,4,0,2,0,1,1,2,0,0,0,0,1,3,2,1,0,1,1,3
Bruntsfield - 05,City of Edinburgh,923,9,11,5,14,6,3,3,11,5,6,5,12,2,10,8,7,8,4,5,14,31,37,42,46,35,33,29,25,25,16,18,24,14,24,29,14,14,1,14,5,4,5,17,12,10,1,4,8,10,16,15,8,8,6,11,5,12,5,10,9,8,8,8,5,7,5,8,6,7,4,12,6,8,5,3,4,2,4,2,2,1,1,3,1,1,0,0,1,1,0,0
Bruntsfield - 06,City of Edinburgh,781,6,9,6,7,11,7,9,7,9,10,10,10,6,9,5,9,6,6,5,0,15,12,19,19,20,12,36,23,19,21,9,18,9,22,9,21,11,20,18,14,18,15,15,7,12,9,9,8,11,16,6,4,11,11,7,10,8,8,4,6,9,11,3,9,5,5,8,4,4,3,3,2,2,0,0,0,2,0,4,2,0,1,2,2,2,0,1,0,1,4,3
Bruntsfield - 07,City of Edinburgh,833,6,3,2,10,5,7,5,6,8,4,9,8,1,7,5,4,4,2,3,17,43,48,51,28,23,24,19,34,20,19,25,27,13,12,12,6,6,5,4,8,1,15,5,11,15,3,12,11,2,13,8,3,9,5,9,10,13,4,3,1,4,14,10,10,7,7,6,5,5,3,5,2,3,6,0,1,2,2,0,4,2,2,5,3,3,6,2,5,6,3,4
Polwarth - 01,City of Edinburgh,836,6,4,7,5,11,11,13,9,2,3,10,6,4,9,3,4,3,4,2,20,41,43,50,43,44,39,29,15,25,27,12,26,18,14,15,8,9,10,7,4,2,5,6,0,2,13,17,8,8,6,7,9,5,3,9,4,7,5,4,4,4,4,6,4,7,2,3,1,4,3,3,3,2,6,1,2,3,3,5,3,3,3,4,4,4,3,1,2,0,0,4
Polwarth - 02,City of Edinburgh,914,9,9,11,4,9,7,14,3,7,8,5,4,3,2,2,5,2,4,4,6,9,16,24,26,22,28,36,34,53,19,45,45,21,35,16,27,6,21,16,9,16,19,0,14,10,8,7,7,7,2,9,5,22,3,12,9,9,8,7,8,3,11,8,4,1,5,5,1,4,6,3,4,4,3,2,3,2,3,7,7,3,1,1,2,4,6,0,1,1,0,1
Polwarth - 03,City of Edinburgh,665,4,4,1,6,5,4,5,6,5,3,3,3,1,1,1,1,2,2,1,2,7,15,21,20,20,25,25,34,46,24,32,26,28,26,12,21,16,17,7,3,7,12,12,11,7,12,6,1,5,2,8,5,6,3,5,5,8,3,6,4,4,1,4,4,2,4,2,2,4,0,2,1,2,2,2,2,0,1,2,2,2,1,0,2,0,1,1,1,0,1,0
Polwarth - 04,City of Edinburgh,606,6,6,5,4,8,0,5,7,0,1,0,1,1,0,1,3,2,2,1,1,20,15,12,16,29,24,29,38,31,34,9,38,18,13,17,9,5,9,10,13,4,12,10,7,5,7,5,3,3,2,1,9,7,5,1,1,1,2,4,5,5,1,1,1,0,7,4,5,5,2,1,0,3,1,1,1,1,2,2,5,5,1,0,2,2,4,2,1,1,1,2
Polwarth - 05,City of Edinburgh,995,8,9,6,7,2,1,4,6,5,1,3,1,3,2,4,0,1,1,2,6,5,7,13,19,25,28,36,41,49,50,59,44,43,47,29,28,22,43,18,18,32,13,5,6,18,2,12,2,8,6,6,4,7,9,8,3,9,11,5,5,4,12,3,4,3,4,3,4,1,2,4,1,4,2,3,2,3,4,2,4,1,5,2,5,5,1,6,4,1,6,23
