objectid,name,area,centroid_x, centroid_y
195,Broxtowe,80098837.28798692,449646.3766882492,342373.60808531096
196,Gedling,119981504.33490461,459163.03161494137,348260.79684630496
197,Mansfield,76696898.5424465,455393.7593542049,364052.86142316175
198,Newark and Sherwood,651340471.0398109,472379.98733204283,359069.1673405715
199,Rushcliffe,409231535.832813,464824.08075374167,334145.2135515957
200,Cherwell,588741175.2733166,449874.4051464321,229169.76529306706
210,Cannock Chase,78882572.17609648,401432.6033001194,312747.020970492
201,Oxford,45602907.70219976,452490.68496484845,206483.04550978975
202,South Oxfordshire,678537177.5640148,464364.8967853356,193179.2272468102
203,Vale of White Horse,578644522.9892772,438738.67817872524,192972.36493817833
204,West Oxfordshire,714422025.8252509,434069.54593024624,215555.0568857077
205,Mendip,739435423.8945463,362044.20955381216,144996.68363628333
206,Sedgemoor,385328271.81592107,337866.72787123773,145840.31394085658
207,South Somerset,959040236.7512606,350270.04921918345,121211.93114350963
208,Taunton Deane,455690477.4280263,318661.24884792045,123999.94988089602
209,West Somerset,726897629.3510073,295363.24764644395,138020.2367738881
211,East Staffordshire,389985154.57761157,412744.5925444459,329547.98134046106
212,Lichfield,331294324.00717443,413283.8268923813,310071.17928610556
213,Newcastle-under-Lyme,210957319.19415924,378693.42831416434,344024.7739221289
214,South Staffordshire,407322251.84106,388128.5642371971,303085.27215507254
215,Stafford,598172230.449839,388210.54631510697,327864.7560626438
216,Staffordshire Moorlands,575849816.6308584,401353.0469042739,353565.6806057718
217,Tamworth,30850716.53570181,421903.7592914199,303234.02118208533
218,Babergh,595173145.1196808,599493.1857790768,243382.6004012589
219,Forest Heath,377710784.72125125,572499.7241648256,275982.06427810027
220,Ipswich,39522487.72604417,616720.7598391274,244481.1727857884
221,Mid Suffolk,871070646.270563,611204.1225300807,265465.5550941468
222,St Edmundsbury,656964998.6615669,582702.0143572664,262834.51367433456
223,Suffolk Coastal,885987966.4428191,633319.9209228896,257263.8077637311
224,Waveney,369911699.5674615,643717.1430020372,286129.96420343965
225,Elmbridge,96334280.04951271,512048.93793934555,163233.32996947895
226,Epsom and Ewell,34079154.17599773,521197.9598164268,161443.15559877956
227,Guildford,270931192.1736524,500487.3925251929,150830.00961590305
228,Mole Valley,258320947.94092548,517085.2549322571,147228.25702165783
229,Reigate and Banstead,129143924.77883948,526280.8103781759,152000.8054249751
230,Runnymede,78040685.62790048,501583.97316998173,167092.52322709994
231,Spelthorne,51161362.93217939,506613.284258598,170645.68247187257
232,Surrey Heath,95092958.47319211,492695.1912027904,161265.70123254484
233,Tandridge,248194570.17501214,536717.0863750436,149356.42879663256
234,Waverley,345170236.4525311,495733.2904470126,139840.6053630245
235,Woking,63603602.68209196,500404.47241472505,158179.46234925234
236,North Warwickshire,284263708.15904415,425319.36811464955,294468.3321320867
237,Nuneaton and Bedworth,78950290.99480669,435676.4973090729,289376.4223203964
238,Rugby,353557278.13480884,445815.0558789938,276471.0229457738
239,Stratford-on-Avon,977869054.885418,425886.65147246234,253459.37950658228
240,Warwick,282882320.7089842,428413.3188557374,268068.9040557735
241,Adur,25764845.75257741,518008.63185121224,106244.75017481677
242,Arun,125683647.21136644,496317.26842013496,104896.69954289788
243,Chichester,781244423.9170452,488870.69443131203,116675.39816906054
244,Crawley,44971204.892386004,527317.2329942647,137814.32543435154
245,Horsham,520626240.0014038,514973.8169290181,122986.88676995903
246,Mid Sussex,334029221.0032762,531460.5588249477,126276.6162525557
247,Worthing,32521824.479381952,513035.7407809849,104612.42148103584
248,Bromsgrove,216968485.29274052,399006.38728730136,273744.03261551814
249,Malvern Hills,577070983.6913512,376531.26089407556,253890.34469631477
250,Redditch,54250912.48143369,403381.0283438289,264905.8625473614
251,Worcester,33278124.578937124,385652.63696650206,255405.30321313476
252,Wychavon,663541968.7564007,396620.98798808974,251769.8777276378
253,Wyre Forest,195403717.5885191,381400.311789679,275762.23276364215
254,St Albans,161205876.81498885,514462.0508191569,209453.51352915794
255,Welwyn Hatfield,129536895.60501294,524715.5581121611,209121.4377723128
256,East Hertfordshire,475669219.4550897,537239.2133618265,220372.10230427457
257,Stevenage,25969241.771884408,524663.6978026298,224412.6486550858
258,Bolton,139792045.2740723,369178.69371118385,409216.70675874356
259,Bury,99460125.40420187,379407.3196637572,410185.0090963665
260,Manchester,115648228.79464611,384655.49314796855,394994.6204261856
261,Oldham,142344915.46696487,396741.5717733959,406140.9132919909
262,Rochdale,158128177.08018017,389654.152053996,413345.72764977196
263,Salford,97197279.2493882,375535.03259018215,399266.96843065636
264,Stockport,126040274.71107033,391578.18381851324,388577.45646056015
265,Tameside,103154301.33959904,395928.49885711755,397862.45442674664
266,Trafford,106044772.70438264,376480.6078672581,391413.8707008738
267,Wigan,188171008.8938957,361015.1176277081,403215.4796124147
268,Knowsley,86500062.56865406,344675.08740145975,392358.26476485736
269,Liverpool,111835574.242464,339154.40179266216,390069.33626419306
270,St. Helens,136358792.1607576,352051.0403762853,396102.0581164026
271,Sefton,154525725.94936028,333575.62687360286,406485.4476050496
272,Wirral,154777581.6875543,328958.2798544613,385772.9688293557
273,Barnsley,329077593.9660805,431077.59635658545,404459.2316308801
274,Doncaster,568022259.8181497,460012.29804017727,405669.3237335144
275,Rotherham,286534366.7552458,447551.6307627542,390437.5472922343
276,Sheffield,367930016.89831626,429989.71745815116,389826.8128076708
277,Newcastle upon Tyne,113456193.15217237,421956.7604347544,568241.3673853789
278,North Tyneside,82308510.95973843,430824.97958418407,570535.9908604865
279,South Tyneside,64394240.16503568,435667.6362632143,563262.9306208506
280,Sunderland,89844822.52865426,436253.21158533084,552121.9665703011
281,Birmingham,267791070.63719237,408598.2834604088,287855.2947432907
282,Coventry,98639059.97719887,432760.1424453109,279983.1421598411
283,Dudley,97958243.92704386,392712.5939566962,287219.879190129
284,Sandwell,85558926.91679776,399488.13793675683,290838.0180854474
285,Solihull,178282113.34858036,418660.8763112967,279492.4211058181
286,Walsall,103973544.78362615,402376.40180487715,300163.3166560116
287,Wolverhampton,69436705.06907138,391900.1863725007,299050.0476514093
288,Bradford,366419737.3904085,409659.5195186034,438723.9326301368
289,Calderdale,363960993.8928056,401851.99756914296,424974.974550447
290,Kirklees,408551665.2057495,415751.272949336,414562.0561830503
291,Leeds,551706535.0167806,432613.8952474705,436721.70264672954
292,Wakefield,338619732.8727684,438967.05742245103,418403.5759887945
293,Gateshead,142359275.69655982,420391.08644126606,560082.7983881554
294,City of London,2903926.4796374775,532479.6329026619,181271.83284816358
295,Barking and Dagenham,35862923.89715824,548069.6974281018,185095.43399177786
296,Barnet,86748325.31099351,524027.59532837314,192316.3400920076
297,Bexley,60575256.66800192,548794.3342020735,175486.72351698735
312,Islington,14856651.321790935,531128.8927481307,184980.01729474726
298,Brent,43232646.077154286,520177.86858444207,185829.5160403494
299,Bromley,150134860.10108623,542895.5118349071,165655.5211467566
300,Camden,21789299.33274003,527864.4051285431,184664.06471451162
301,Croydon,86494440.11148769,533290.1538805797,163541.24388057835
302,Ealing,55544347.53943548,515887.9374193588,181715.49550045788
303,Enfield,82200190.6922798,532423.9721036477,196420.83943357418
304,Greenwich,47095398.1108256,542935.7616343745,176871.11233123587
305,Hackney,19049030.678340375,534371.5950254202,185485.6381105711
306,Hammersmith and Fulham,16397617.108154431,523572.6791009851,178944.77498237856
307,Haringey,29598384.455761597,531200.6300383114,189643.39758721448
308,Harrow,50463307.18442369,514986.70246211335,190066.84251585102
309,Havering,112349655.08753006,554049.0301854478,187392.02534250653
310,Hillingdon,115700538.9986865,507889.7382608563,183652.82161329102
311,Hounslow,55926236.27155998,513515.5064475912,175643.2242138003
313,Kensington and Chelsea,12123860.18207687,525536.5159541768,179622.98714170046
326,Westminster,21486970.047216527,527686.0654025781,181043.73337927632
327,Clackmannanshire,158629066.97059056,291996.51437794516,696862.4858323981
314,Kingston upon Thames,37261180.557668865,519297.6348144291,166820.01189995056
328,Dumfries and Galloway,6436888986.456141,274761.4102030092,577676.9444208881
329,East Ayrshire,1270341778.33228,253863.09469476278,623679.2518562613
330,East Lothian,678976938.2792294,355093.73862933787,672096.1626967301
315,Lambeth,26810033.99462488,530844.7221878691,174356.4247854846
316,Lewisham,35149083.44023104,537670.43465858,173980.73154890546
331,East Renfrewshire,174249497.73512375,252014.9164810327,653607.4355963443
332,Na h-Eileanan Siar,2150808097.1428547,125790.49056314865,925452.0415934807
333,Falkirk,297365616.7772554,287957.26822341536,679485.4917580878
334,Fife,1324165349.3282654,330163.8119822785,704568.0253182636
335,Highland,24197849925.93674,241616.8910748169,858682.1073132321
336,Inverclyde,161960724.64826822,228569.20233926852,670965.5982204372
337,Midlothian,355271570.50120884,330543.78910395986,660445.9152943583
338,Moray,2237503935.8208504,324217.13124168664,843325.9806843079
339,North Ayrshire,439704066.0487408,228638.4409390674,651370.7655139309
340,Orkney Islands,577366148.7767316,337035.95865939563,1012151.9714205557
341,Perth and Kinross,5383113619.185353,288055.9801116333,743105.3065870228
342,Scottish Borders,4739127849.523708,350356.9182156062,631654.8851783954
343,Shetland Islands,951039404.1038626,436246.88887969655,1156939.535156744
344,South Ayrshire,1223092382.5059793,229287.44494269893,600303.1650931592
345,South Lanarkshire,1773897201.5838666,286051.27053793345,636936.3452797632
346,Stirling,2253344414.32623,255049.6874202081,708194.212978953
317,Merton,37624740.31150146,525476.2112214031,169422.29613629894
318,Newham,36201722.362436645,541357.5090323779,183013.20326725434
319,Redbridge,56419220.12614174,543914.957712142,189465.00900618325
320,Richmond upon Thames,57353274.64437683,517344.4715962922,172813.84289791263
347,Aberdeen City,185678935.755772,388798.41051215096,807378.1639821426
348,Aberdeenshire,6317705791.804312,361851.3359661823,816845.6475817778
349,Argyll and Bute,4374625769.237585,200000.25829487757,692229.0553572145
350,City of Edinburgh,263222533.7696628,319580.26662650175,670880.5213359342
351,Renfrewshire,261487655.55929792,240850.5730081477,664312.9618458432
352,West Dunbartonshire,177306047.85851657,243102.03475598572,679916.6893219071
353,West Lothian,428772095.90088516,301611.9156533522,666797.0172275836
321,Southwark,28862036.05220835,533820.5965742071,176665.8017142127
354,Angus,2185168449.432956,343782.33552501345,759598.6658361175
322,Sutton,43846967.80595702,526976.8714077246,164133.9039532109
373,Rhondda Cynon Taf,424150424.90712094,300778.962526508,195591.17693909447
374,Caerphilly,277387812.85354155,316741.26051301404,195629.92715440193
375,Blaenau Gwent,108728054.38080916,317714.1176329838,208236.88416534354
376,Torfaen,126239928.7863565,327292.49143214594,200507.89375437025
377,Monmouthshire,850269530.3807919,339910.0776681677,207837.84628700366
378,Newport,99776392.5812524,337745.1974509501,187879.5307545932
379,Powys,5195320915.909766,304005.11087392096,270451.6318871945
380,Merthyr Tydfil,111957017.18252206,306120.3434318745,205569.93888181064
323,Tower Hamlets,19786307.75403971,536398.2401465464,181633.50426028538
324,Waltham Forest,38807959.62710114,537758.1370776305,190223.38773923542
325,Wandsworth,34263364.99983575,526113.6276535586,174045.0411962014
355,Dundee City,59830969.43852678,340319.6208755185,732185.3463046509
356,North Lanarkshire,472216142.9295629,278204.7311574571,666337.8721421945
357,East Dunbartonshire,174489016.794833,261146.52279427872,675904.70826622
358,Glasgow City,111248722.27349117,260912.4704422692,666889.5044844825
359,Isle of Anglesey,678974917.9899063,242711.28627145273,379305.9572707608
360,Gwynedd,2545854672.465227,264173.51068390487,334744.55863150343
361,Conwy,1130191390.5737906,284065.8106698758,361485.30826045235
362,Denbighshire,838542358.0673287,309473.26291822636,355569.55067014147
363,Flintshire,405970886.3483151,321843.0430397061,368415.27755218325
364,Wrexham,503773486.5977739,331771.61304312,344144.45151923393
365,Ceredigion,1785096239.9954298,258711.86687410768,263836.0200563731
366,Pembrokeshire,1609815305.2940292,201456.37395626586,221442.77977824918
367,Carmarthenshire,2369966993.674583,251634.51635938924,225156.86881016858
368,Swansea,379074270.6924896,258157.25494655344,195849.78060868502
369,Neath Port Talbot,442321180.12846327,279695.86962382914,199517.40104101022
370,Bridgend,250730335.68467906,289285.1396132413,185438.44129928882
371,Vale of Glamorgan,331131935.75561327,302858.7382656251,172794.40047353198
372,Cardiff,142057283.03124925,316561.69866900274,179725.80327516465
