district
Belfast
Lisburn
Derry
Newry and Mourne
Craigavon
Newtownabbey
North Down
Ards
Down
Castlereagh
Ballymena
Fermanagh
Armagh
Coleraine
Dungannon
Antrim
Omagh
Banbridge
Magherafelt
Strabane
Carrickfergus
Cookstown
Larne
Ballymoney
Moyle
Limavady
